store_name,candidate_id,sku,product_name,estimated_leakage_cents,orders,returns,baseline_return_rate_bps,evidence_id,evidence_type,evidence_excerpt,source_label,current_description,current_faq
Morrow Supply,cf-runner,CF-RUN-01,CloudForm Runner,84600,76,14,710,RET-1048,return,Too tight through the toe box. Sized up and it finally fit.,"Return note, Jul 17",Lightweight knit runner with all-day cushioning and a clean everyday profile. True to size fit.,Fit: We recommend ordering your usual size.
Morrow Supply,cf-runner,CF-RUN-01,CloudForm Runner,84600,76,14,710,REV-221,review,Love the look but it definitely runs small compared with my normal 9.,Verified review,Lightweight knit runner with all-day cushioning and a clean everyday profile. True to size fit.,Fit: We recommend ordering your usual size.
Morrow Supply,cf-runner,CF-RUN-01,CloudForm Runner,84600,76,14,710,SUP-73,support,Customer asked if they should go half a size up after their first pair felt short.,Support chat,Lightweight knit runner with all-day cushioning and a clean everyday profile. True to size fit.,Fit: We recommend ordering your usual size.
Morrow Supply,cf-runner,CF-RUN-01,CloudForm Runner,84600,76,14,710,PDP-11,product_copy,Current PDP copy says true to size with no fit exceptions.,Product detail page,Lightweight knit runner with all-day cushioning and a clean everyday profile. True to size fit.,Fit: We recommend ordering your usual size.
Morrow Supply,transit-weekender,TW-04,Transit Weekender,51700,32,7,710,RET-991,return,Expected a padded laptop sleeve. Mine only had a soft divider.,Refund reason,"Weekend holdall with commuter-ready organization, soft structure, and weather-minded canvas.",Storage: Interior pockets keep travel essentials close at hand.
Morrow Supply,transit-weekender,TW-04,Transit Weekender,51700,32,7,710,REV-208,review,Photos made the side pocket look structured enough for a work laptop.,Verified review,"Weekend holdall with commuter-ready organization, soft structure, and weather-minded canvas.",Storage: Interior pockets keep travel essentials close at hand.
Morrow Supply,transit-weekender,TW-04,Transit Weekender,51700,32,7,710,SUP-58,support,We are answering the same does it fit a 16 inch laptop question several times a week.,CX macro draft,"Weekend holdall with commuter-ready organization, soft structure, and weather-minded canvas.",Storage: Interior pockets keep travel essentials close at hand.
Morrow Supply,transit-weekender,TW-04,Transit Weekender,51700,32,7,710,PDP-42,product_copy,Current copy mentions commuter-ready organization but does not define the laptop compartment.,Product detail page,"Weekend holdall with commuter-ready organization, soft structure, and weather-minded canvas.",Storage: Interior pockets keep travel essentials close at hand.
Morrow Supply,core-linen-set,CLS-02,Core Linen Set,28900,20,5,710,CAN-118,support,Canceled because dispatch timing was not clear before checkout.,Cancellation note,Breathable linen bedding in washed neutrals for warmer nights and easy layering.,Shipping: Processing details are available in our help center.
Morrow Supply,core-linen-set,CLS-02,Core Linen Set,28900,20,5,710,SUP-84,support,Customer expected next-day dispatch after seeing summer ready language on the PDP.,Support email,Breathable linen bedding in washed neutrals for warmer nights and easy layering.,Shipping: Processing details are available in our help center.
Morrow Supply,core-linen-set,CLS-02,Core Linen Set,28900,20,5,710,REV-319,review,Product arrived later than expected. Wish the ship window was clearer.,Post-purchase review,Breathable linen bedding in washed neutrals for warmer nights and easy layering.,Shipping: Processing details are available in our help center.
Morrow Supply,core-linen-set,CLS-02,Core Linen Set,28900,20,5,710,PDP-63,product_copy,Dispatch timing only appears deep in the FAQ and not near the add-to-cart area.,Product detail page,Breathable linen bedding in washed neutrals for warmer nights and easy layering.,Shipping: Processing details are available in our help center.
